#{"t_start": 1753780783.2422848, "env_id": "None"}
r,l,t
1702.971824,750,130.467942
1400.06447,231,131.50767
1433.111599,235,131.609773
1546.371538,206,131.697627
1385.3407,215,131.786632
1447.543684,226,131.882254
-88.692529,49,132.927124
1424.126253,246,133.034238
1701.301053,750,133.382427
1690.734472,750,133.718631
356.003233,206,133.809945
-75.266078,98,134.921857
71.567586,137,134.981351
111.01758,113,135.045784
300.927434,174,135.126341
-98.415588,52,135.148318
269.588768,183,136.233626
1316.38694,266,136.342058
1357.399077,223,136.434239
-102.693701,46,136.454409
31.551767,71,136.484402
1560.770026,235,137.555809
1462.296552,252,137.663876
-43.405859,66,137.69068
-93.564188,94,137.728383
106.252374,122,137.777521
1638.896142,290,138.931679
1512.693414,219,139.037895
1624.133527,262,139.171714
275.942134,184,139.249004
605.271193,248,139.364315
-102.696298,92,140.399182
1442.803289,236,140.497425
171.128966,129,140.562071
1551.107446,192,140.650083
1434.051116,245,140.769216
-70.737585,72,142.130872
1502.805192,189,142.32145
212.062116,132,142.416725
-88.300591,56,142.455853
-126.710171,74,142.508209
1451.01123,198,143.965613
1511.712056,202,144.086616
1431.535964,233,144.22462
-121.355855,62,144.249992
1461.633712,247,144.367313
-108.973528,90,145.342022
201.725992,174,145.414974
34.958142,98,145.474152
-112.308829,57,145.50065
1499.143821,241,145.602732
1518.231522,220,146.740647
45.448676,104,146.79203
1399.057977,218,146.88367
1437.213631,211,146.970186
91.65767,118,147.024184
-121.171107,36,147.97941
-30.23634,57,148.002576
286.348559,176,148.079144
1531.715348,231,148.203573
1506.7418,215,148.29267
1303.752284,750,149.611404
1721.572014,333,149.74735
1703.785948,750,150.081824
1856.436784,345,150.227132
1645.423764,750,150.542211
42.204325,96,151.557514
10.811558,91,151.594225
-105.897122,92,151.648376
-73.463228,81,151.684599
1385.326692,207,151.773364
1691.01353,262,152.887506
325.617662,223,152.980617
63.467099,124,153.051335
-76.18514,50,153.084832
1646.74303,279,153.28696
1505.660436,193,154.468669
486.700071,205,154.554961
293.152698,165,154.623493
